1	3	1
1	4	1
1	5	1
1	6	6
1	7	9
1	9	9
1	10	1
1	11	2
1	15	1
1	16	2
1	18	1
1	19	1
1	20	3
1	21	3
1	23	2
1	28	4
1	29	2
1	30	3
1	31	6
1	32	1
3	4	2
3	6	3
3	7	1
3	9	5
3	10	1
3	15	2
3	16	1
3	18	2
3	21	2
3	29	4
3	31	2
3	32	2
4	6	1
4	7	1
4	9	4
4	10	1
4	11	1
4	15	2
4	16	1
4	18	2
4	21	2
4	29	1
4	30	1
4	31	1
5	6	6
5	7	4
5	9	3
5	10	1
5	16	1
5	19	2
5	20	2
5	21	2
5	29	2
5	30	5
5	31	3
6	7	13
6	9	9
6	10	2
6	11	4
6	15	2
6	16	2
6	17	5
6	18	1
6	19	4
6	20	2
6	21	5
6	22	1
6	23	4
6	28	4
6	29	3
6	30	7
6	31	12
6	32	5
7	9	8
7	10	3
7	11	4
7	16	2
7	17	1
7	18	2
7	19	1
7	20	4
7	21	5
7	22	1
7	23	4
7	28	4
7	29	2
7	30	6
7	31	8
7	32	2
9	10	4
9	11	2
9	15	7
9	16	7
9	17	2
9	18	6
9	19	1
9	20	1
9	21	9
9	23	2
9	28	6
9	29	4
9	30	3
9	31	10
9	32	4
10	18	2
10	21	2
10	29	1
10	30	1
10	31	3
10	32	2
11	18	1
11	23	4
11	32	1
15	16	6
15	18	2
15	21	1
15	28	3
15	32	2
16	21	3
16	22	2
16	28	3
16	29	1
16	30	1
16	31	4
17	18	1
17	19	3
17	21	3
17	22	1
17	28	5
17	31	2
17	32	3
18	19	1
18	21	5
18	28	4
18	29	1
18	30	1
18	31	1
18	32	2
19	20	1
19	21	1
19	28	1
19	29	2
19	30	2
19	31	2
20	28	2
20	29	1
20	30	3
20	31	3
21	22	1
21	28	3
21	29	1
21	30	3
21	31	5
21	32	3
22	28	2
22	31	3
28	29	2
28	30	1
28	31	5
28	32	4
29	30	3
29	31	3
29	32	3
30	31	5
30	32	1
31	32	5
