id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
75	brief introduction	0.7203	-0.5486	1	43	79	10	2017	68	2.0916
76	bsa	-0.3248	0.3977	2	108	306	35	2016.2571	9	0.282
77	buffer solution	-0.7262	0.723	5	156	428	36	2014.7778	17.3056	0.4943
78	c3n4	1.0131	-0.011	4	94	280	22	2021.0455	31.4545	1.1815
79	cancer	0.0402	0.2109	2	264	901	89	2019.9888	46.1124	1.6916
80	cancer biomarker	0.135	0.3094	2	86	234	21	2018.6667	25.7143	0.8754
81	capacitance	-0.8021	-0.023	3	253	1075	114	2014.8596	39.6316	0.8412
82	capacitance measurement	-0.846	0.5387	5	87	198	19	2010.6316	20.3684	0.3967
83	capacitance voltage	-0.9938	1.0726	5	100	362	24	2015.9583	20.5	0.7888
84	capacitancevoltage	-0.9991	0.7593	5	58	115	11	2011.6364	19.4545	0.5078
85	capacitive biosensor	-1.0349	-0.0251	2	43	166	23	2014.913	12.087	0.2842
86	capacitor	-0.8336	0.3499	3	138	467	51	2013.8824	18.1569	0.5766
87	carbon	0.6164	-0.1998	1	176	440	51	2019.4706	50.9412	1.9557
88	carbon nanomaterial	0.3506	-0.3089	1	66	87	14	2018.4286	35.5	0.9395
89	carboxyl group	-0.2679	0.3496	4	73	128	13	2016.6154	23.6923	0.8544
90	carcinoembryonic antigen	0.5298	0.3818	4	93	191	17	2020.3529	55.7647	1.5891
91	care	-0.3414	-0.2863	2	186	450	63	2018.381	61.2063	1.8208
92	care diagnostic	-0.3051	-0.267	2	90	139	18	2020.9444	29.8333	1.2432
93	care testing	-0.4691	-0.2924	2	130	211	23	2019.913	48.6522	1.8636
94	carrier mobility	0.3677	-0.3636	1	101	219	20	2019.35	61	1.6256
95	catalysis	0.9528	0.105	4	159	420	45	2016.2222	57.5333	1.6123
96	catalyst	0.9062	0.1869	4	117	266	32	2015.2812	51.2188	1.4774
