1	9	52
1	20	53
1	28	58
1	29	54
1	30	52
1	40	7
1	58	52
1	70	52
1	75	53
1	78	53
1	79	53
1	91	52
2	33	2
2	41	1
2	44	6
2	57	2
2	58	5
2	64	4
2	69	2
3	6	3
3	18	1
3	21	15
3	23	34
3	25	2
3	35	5
3	37	1
3	38	1
3	41	3
3	47	1
3	52	3
3	54	4
3	57	16
3	58	31
3	61	1
3	63	1
3	64	16
3	65	3
3	67	3
3	69	1
3	77	2
3	82	1
3	84	3
3	85	63
3	87	17
3	89	15
4	15	5
4	27	5
4	34	5
4	45	5
4	47	5
4	49	7
4	54	2
4	55	8
4	57	5
4	59	5
4	69	5
4	71	5
4	76	5
4	86	5
4	87	2
5	6	12
5	23	6
5	66	6
5	87	24
6	8	1
6	14	2
6	18	5
6	23	3
6	25	3
6	35	10
6	37	1
6	38	2
6	41	1
6	44	2
6	47	1
6	52	5
6	54	5
6	57	1
6	58	2
6	63	2
6	64	18
6	65	9
6	66	4
6	67	5
6	69	1
6	72	1
6	74	2
6	77	2
6	80	4
6	82	2
6	83	2
6	84	5
6	85	2
6	87	9
7	10	4
7	16	16
7	26	8
7	32	4
7	43	8
7	57	8
7	58	4
7	66	4
7	77	8
7	90	8
8	12	2
8	17	2
8	23	1
8	27	1
8	50	6
8	58	2
8	61	2
8	68	6
8	72	3
8	89	5
9	20	52
9	28	54
9	29	52
9	30	52
9	40	7
9	58	52
9	70	52
9	75	52
9	78	52
9	79	52
9	91	52
10	16	8
10	26	4
10	31	1
10	32	4
10	43	4
10	54	3
10	57	5
10	58	11
10	66	2
10	77	5
10	81	1
10	84	1
10	90	4
11	31	3
11	37	6
11	57	3
11	69	1
12	17	2
12	18	1
12	21	2
12	50	4
12	51	3
12	54	1
12	56	2
12	58	6
12	64	1
12	68	15
12	72	3
12	77	1
12	81	1
12	87	1
12	89	3
13	14	14
13	57	4
13	58	6
13	72	6
14	18	2
14	25	2
14	35	8
14	38	2
14	41	2
14	44	4
14	52	4
14	54	4
14	57	2
14	58	4
14	63	2
14	64	8
14	65	12
14	67	4
14	72	4
14	82	2
14	84	8
14	87	2
15	27	4
15	34	4
15	45	4
15	47	4
15	49	5
15	54	1
15	55	7
15	57	4
15	59	4
15	69	4
15	71	4
15	76	4
15	86	4
15	87	1
16	26	16
16	32	8
16	43	16
16	57	16
16	58	8
16	66	8
16	77	16
16	90	16
17	18	1
17	23	1
17	25	1
17	35	2
17	50	4
17	51	3
17	54	1
17	56	4
17	58	8
17	63	1
17	64	3
17	68	7
17	72	6
17	77	1
17	79	1
17	82	1
17	84	1
17	89	2
18	19	36
18	21	1
18	23	2
18	24	36
18	25	1
18	33	1
18	35	10
18	36	1
18	37	9
18	38	3
18	41	1
18	42	3
18	44	2
18	46	36
18	51	1
18	52	2
18	54	3
18	57	1
18	58	3
18	60	1
18	61	1
18	62	3
18	63	4
18	64	6
18	65	6
18	66	5
18	67	2
18	68	5
18	72	1
18	73	10
18	74	4
18	77	1
18	80	8
18	81	18
18	82	8
18	83	4
18	84	5
18	85	10
18	87	49
19	24	16
19	46	16
19	81	8
19	87	20
20	28	58
20	29	54
20	30	52
20	40	7
20	58	52
20	70	52
20	75	53
20	78	53
20	79	53
20	91	52
21	23	5
21	37	1
21	51	1
21	54	1
21	56	1
21	57	1
21	58	4
21	61	1
21	64	1
21	66	1
21	68	6
21	72	2
21	77	2
21	81	1
21	85	5
21	87	1
21	89	2
22	36	15
22	41	13
22	58	8
22	77	5
23	35	1
23	37	1
23	41	1
23	51	1
23	54	1
23	56	1
23	57	2
23	58	5
23	61	1
23	64	3
23	66	2
23	68	1
23	72	2
23	77	2
23	79	1
23	85	9
23	87	8
23	89	2
24	46	16
24	81	8
24	87	20
25	35	12
25	37	2
25	38	3
25	41	1
25	44	2
25	47	2
25	52	8
25	54	9
25	56	2
25	57	2
25	58	2
25	63	4
25	64	32
25	65	12
25	67	8
25	68	2
25	69	2
25	77	4
25	82	3
25	84	6
25	87	1
26	32	4
26	43	8
26	57	8
26	58	4
26	66	4
26	77	8
26	90	8
27	34	4
27	45	4
27	47	4
27	49	5
27	54	1
27	55	7
27	57	4
27	59	4
27	61	2
27	69	4
27	71	4
27	76	4
27	86	4
27	87	1
27	89	1
28	29	62
28	30	54
28	40	7
28	58	54
28	70	54
28	75	58
28	78	58
28	79	58
28	91	54
29	30	52
29	40	7
29	58	52
29	70	52
29	75	54
29	78	54
29	79	54
29	91	52
30	40	7
30	58	52
30	70	52
30	75	52
30	78	52
30	79	52
30	91	52
31	33	3
31	34	1
31	35	3
31	37	2
31	39	6
31	57	4
31	58	4
31	72	5
31	81	1
31	84	1
31	85	1
32	35	2
32	41	1
32	43	4
32	53	3
32	57	5
32	58	6
32	64	2
32	66	2
32	72	2
32	77	5
32	81	2
32	90	4
33	35	2
33	37	3
33	38	2
33	39	2
33	41	2
33	44	40
33	57	1
33	58	8
33	60	1
33	61	2
33	62	1
33	64	2
33	73	10
33	77	6
33	82	5
33	88	24
34	45	4
34	47	4
34	49	5
34	54	1
34	55	7
34	57	4
34	59	4
34	69	4
34	71	4
34	72	1
34	76	4
34	85	1
34	86	4
34	87	1
35	37	5
35	38	10
35	39	2
35	41	6
35	44	8
35	47	4
35	52	20
35	54	21
35	57	5
35	58	4
35	60	1
35	62	1
35	63	8
35	64	79
35	65	36
35	66	2
35	67	20
35	69	4
35	72	6
35	73	10
35	74	2
35	77	8
35	80	4
35	81	4
35	82	13
35	83	2
35	84	20
35	87	6
36	41	6
36	57	8
36	58	11
36	63	3
36	77	3
36	81	2
36	83	2
36	84	2
36	85	2
37	38	3
37	47	1
37	52	3
37	54	3
37	57	4
37	60	1
37	61	2
37	62	1
37	63	1
37	64	14
37	65	3
37	66	1
37	67	3
37	69	1
37	73	10
37	77	3
37	82	6
37	84	1
37	85	2
38	41	1
38	44	2
38	47	1
38	52	5
38	54	5
38	57	3
38	60	2
38	62	2
38	63	2
38	64	18
38	65	9
38	67	5
38	69	1
38	73	20
38	77	2
38	82	12
38	84	5
38	87	1
39	58	2
39	60	3
39	63	3
39	82	6
40	58	7
40	70	7
40	75	7
40	78	7
40	79	7
40	91	7
41	44	2
41	52	2
41	54	2
41	58	5
41	63	1
41	64	7
41	65	6
41	67	2
41	72	2
41	77	2
41	81	2
41	82	1
41	84	4
41	85	6
41	87	1
42	58	1
42	62	6
42	72	3
42	82	3
43	57	8
43	58	4
43	66	4
43	77	8
43	90	8
44	52	4
44	54	4
44	58	8
44	63	2
44	64	10
44	65	12
44	67	4
