1	3	3
1	4	2
1	6	1
1	7	2
1	12	2
1	16	1
1	18	1
1	20	2
1	22	1
1	33	1
1	40	1
1	49	2
1	55	1
1	57	2
1	58	1
1	62	3
1	63	3
1	64	1
1	66	3
1	70	1
1	71	1
1	75	1
1	85	5
1	92	2
1	100	1
1	101	2
1	102	6
1	104	2
1	107	1
1	110	1
1	111	1
1	113	1
1	118	1
1	119	1
1	125	1
1	133	1
1	139	2
1	155	1
1	157	1
1	160	1
1	163	1
1	174	1
1	175	1
1	186	5
1	189	4
1	191	1
1	208	6
1	215	1
1	219	2
1	226	1
2	3	6
2	8	3
2	12	6
2	15	6
2	16	1
2	18	7
2	21	1
2	23	13
2	25	3
2	36	1
2	37	2
2	41	7
2	45	6
2	52	11
2	55	3
2	63	1
2	66	1
2	70	2
2	71	1
2	72	5
2	78	6
2	83	3
2	84	1
2	86	6
2	87	6
2	90	32
2	95	2
2	100	2
2	102	1
2	103	1
2	109	5
2	120	1
2	122	26
2	124	13
2	126	1
2	127	1
2	129	6
2	132	2
2	134	7
2	136	5
2	138	11
2	143	6
2	147	1
2	149	5
2	156	1
2	158	2
2	159	2
2	164	10
2	165	2
2	167	5
2	168	5
2	169	3
2	170	22
2	173	1
2	174	35
2	177	6
2	179	10
2	181	3
2	190	3
2	198	8
2	200	9
2	204	3
2	206	1
2	210	3
2	211	3
2	215	1
2	216	4
2	217	3
3	6	2
3	7	2
3	10	2
3	12	19
3	13	2
3	18	1
3	22	3
3	33	1
3	39	2
3	42	1
3	45	1
3	52	4
3	55	4
3	56	2
3	62	3
3	63	3
3	66	1
3	67	1
3	70	2
3	73	2
3	77	1
3	80	1
3	87	1
3	90	17
3	96	1
3	98	2
3	101	1
3	102	6
3	105	1
3	107	2
3	110	3
3	111	5
3	114	1
3	125	1
3	127	2
3	129	2
3	130	1
3	132	1
3	133	2
3	136	4
3	138	1
3	140	6
3	141	4
3	142	2
3	144	5
3	145	5
3	147	1
3	156	1
3	158	2
3	160	2
3	161	1
3	163	1
3	167	11
3	168	3
3	170	3
3	175	2
3	176	5
3	177	1
3	179	5
3	181	4
3	188	1
3	190	1
3	192	2
3	200	7
3	202	1
3	206	4
3	209	3
3	210	16
3	212	1
3	213	8
3	218	1
3	221	2
3	228	2
3	229	4
3	230	1
4	6	3
4	8	1
4	22	1
4	45	5
4	48	3
4	54	1
4	55	11
4	61	3
4	62	4
4	63	9
4	66	1
4	68	1
4	70	3
4	71	1
4	79	1
4	81	1
4	82	2
4	90	2
4	98	1
4	102	1
4	106	1
4	107	1
4	108	3
4	121	1
4	123	3
4	131	3
4	133	3
4	139	2
4	143	1
4	145	1
4	148	4
4	152	1
4	164	1
4	166	5
4	173	1
4	186	2
4	188	4
4	192	2
4	197	1
4	209	1
4	218	1
4	227	2
4	230	3
5	11	1
5	15	1
5	21	1
5	22	11
5	23	1
5	31	14
5	33	4
5	37	2
5	47	2
5	55	2
5	58	1
5	61	2
5	65	2
5	66	15
5	69	3
5	70	20
5	71	4
5	72	1
5	75	1
5	76	4
5	77	1
5	92	2
5	93	1
5	96	1
5	111	1
5	113	2
5	117	1
5	119	1
5	121	1
5	122	6
5	123	3
5	133	2
5	135	1
5	142	2
5	145	1
5	147	4
5	159	1
5	163	4
5	165	2
5	166	2
5	167	5
5	177	1
5	178	2
5	181	2
5	186	2
5	187	1
5	188	1
5	189	1
5	190	4
5	191	1
5	200	3
5	208	2
5	211	1
5	219	1
6	10	3
6	12	1
6	13	1
6	19	1
6	26	1
6	29	1
6	30	2
6	33	2
6	37	5
6	40	1
6	45	2
6	50	1
6	54	3
6	55	5
6	56	1
6	61	3
6	62	6
6	63	5
6	79	6
6	81	1
6	82	7
6	90	14
6	96	1
6	98	1
6	102	7
6	103	3
6	104	1
6	105	1
6	107	8
6	111	3
6	113	3
6	116	2
6	118	2
6	122	1
6	123	1
6	127	3
6	128	8
6	133	6
6	135	1
6	136	2
6	138	9
6	139	1
6	141	3
6	142	3
6	143	3
6	146	4
6	153	2
6	160	2
6	161	1
6	164	4
6	167	1
6	173	1
6	174	3
6	177	1
6	179	1
6	181	4
6	184	1
6	186	1
6	188	4
6	191	1
6	200	1
6	210	1
6	216	2
6	218	2
6	221	2
6	222	3
6	227	2
6	228	1
7	12	2
7	15	2
7	16	1
7	18	4
7	22	17
7	26	2
7	33	9
7	34	1
7	39	4
7	45	1
7	47	1
7	48	5
7	49	2
7	55	21
7	56	1
7	58	2
7	61	1
7	62	8
7	63	1
7	66	7
7	68	1
7	70	15
7	74	1
7	75	3
7	83	2
7	88	11
7	90	4
7	93	3
7	94	2
7	100	2
7	101	6
7	102	1
7	109	8
7	110	2
7	111	1
7	112	4
7	122	1
7	125	2
7	127	1
7	128	3
7	133	3
7	138	2
7	141	3
7	142	1
7	144	10
7	146	1
7	147	2
7	162	8
7	163	3
7	171	1
7	172	1
7	177	2
7	178	1
7	180	1
7	181	1
7	187	3
7	189	24
7	190	2
7	193	1
7	194	1
7	200	5
7	201	8
7	203	12
7	206	5
7	208	2
7	209	1
7	210	1
7	211	1
7	218	1
7	219	1
7	222	7
7	223	1
8	9	3
8	18	4
8	22	7
8	23	2
8	28	4
8	32	1
8	33	5
8	34	1
8	35	3
8	38	4
8	39	1
8	45	2
8	47	1
8	48	2
8	53	1
8	54	2
8	55	4
8	56	1
8	57	2
8	58	4
8	60	6
8	61	1
8	62	3
8	63	3
8	65	4
8	66	7
8	68	1
8	70	11
8	71	1
8	72	4
8	73	1
8	74	3
8	76	5
8	80	1
8	86	1
8	88	4
8	96	3
8	97	1
8	99	2
8	100	1
8	101	1
8	116	1
8	117	1
8	119	1
8	121	1
8	127	1
8	128	1
8	133	1
8	138	3
8	140	2
8	144	5
8	145	1
8	146	2
8	148	1
8	149	1
8	155	1
8	156	1
8	159	1
8	163	2
8	172	1
8	174	1
8	176	1
8	177	2
8	179	1
8	181	3
8	186	2
8	187	1
8	189	5
8	190	2
8	194	1
8	206	3
8	208	2
8	210	3
8	211	4
8	215	2
8	216	1
8	217	1
8	219	3
8	220	1
8	223	1
8	226	1
9	11	2
9	15	1
9	18	3
9	22	4
9	28	1
9	32	3
9	33	2
9	39	3
9	40	8
9	48	4
9	54	1
9	55	10
9	61	5
9	62	17
9	63	15
9	65	3
9	66	4
9	70	6
9	72	3
9	73	6
9	74	1
9	75	2
9	76	2
9	77	1
9	92	1
9	96	13
9	99	4
9	100	3
9	107	1
9	111	1
9	114	1
9	115	1
9	116	3
9	117	6
9	118	1
9	121	5
9	123	4
9	128	1
9	130	4
9	133	2
9	143	3
9	144	15
9	145	17
9	147	8
9	160	9
9	162	4
9	165	3
9	166	8
9	177	1
9	181	10
9	183	1
9	185	1
9	186	2
9	190	5
9	193	1
9	194	1
9	197	2
9	199	6
9	200	5
9	202	1
9	206	5
9	208	4
9	214	32
9	215	2
9	216	2
9	217	1
9	219	1
9	220	1
9	226	1
9	228	4
9	229	4
10	12	1
10	33	2
10	40	1
10	43	1
10	45	1
10	49	1
10	54	4
10	55	8
10	56	1
10	62	3
10	63	3
10	67	1
10	79	1
10	90	3
10	92	1
10	102	11
10	104	3
10	105	1
10	106	1
10	107	5
10	108	3
10	111	4
10	123	3
10	127	8
10	129	2
10	132	1
10	133	5
10	135	1
10	138	11
10	141	1
10	142	1
10	143	2
